tag,val_case,F1,usable,n_samples
pct10_base,1m8w_F_D,0.0,1,
pct10_base,21bh_G_M,0.0,1,
pct10_base,6nut_A_B,0.0588235294117647,1,
pct10_base,6qw6_Y_N,0.0,0,
pct10_base,6s6b_K_L,0.0,0,
pct10_base,7c08_A_C,0.0,1,
pct10_base,7n3o_A_B,0.0,1,
pct10_base,7q3l_G_E,0.0,0,
pct10_base,7v9u_A_D,0.0,1,
pct10_base,7y7q_A_D,0.03125000000000001,1,
pct10_base,8b0j_A_G,0.0,1,
pct10_base,8h67_E_B,0.0,1,
pct10_base,8i0w_WA_I,0.0,0,
pct10_base,9jwk_A_B,0.00205761316872428,1,
pct10_base,9k31_A_C,0.004618937644341801,1,
pct10_base,9kbz_A_C,0.005263157894736842,1,
pct10_psmp,1m8w_F_D,0.8791208791208792,1,
pct10_psmp,21bh_G_M,0.0,0,
pct10_psmp,6nut_A_B,0.08695652173913043,1,
pct10_psmp,6qw6_Y_N,0.0,0,
pct10_psmp,6s6b_K_L,0.0,0,
pct10_psmp,7c08_A_C,0.11627906976744186,1,
pct10_psmp,7n3o_A_B,0.0,1,
pct10_psmp,7q3l_G_E,0.0,0,
pct10_psmp,7v9u_A_D,0.0,1,
pct10_psmp,7y7q_A_D,0.1081081081081081,1,
pct10_psmp,8b0j_A_G,0.0,1,
pct10_psmp,8h67_E_B,0.07633587786259544,1,
pct10_psmp,8i0w_WA_I,0.0,0,
pct10_psmp,9jwk_A_B,0.0,1,
pct10_psmp,9k31_A_C,0.0,1,
pct10_psmp,9kbz_A_C,0.009174311926605505,1,
pct25_base,1m8w_F_D,0.0,1,
pct25_base,21bh_G_M,0.0,0,
pct25_base,6nut_A_B,0.0,1,
pct25_base,6qw6_Y_N,0.0,0,
pct25_base,6s6b_K_L,0.0,0,
pct25_base,7c08_A_C,0.029850746268656712,1,
pct25_base,7n3o_A_B,0.0,1,
pct25_base,7q3l_G_E,0.0,0,
pct25_base,7v9u_A_D,0.0,1,
pct25_base,7y7q_A_D,0.0,1,
pct25_base,8b0j_A_G,0.0,1,
pct25_base,8h67_E_B,0.0761904761904762,1,
pct25_base,8i0w_WA_I,0.0,0,
pct25_base,9jwk_A_B,0.0,1,
pct25_base,9k31_A_C,0.0,1,
pct25_base,9kbz_A_C,0.004842615012106537,1,
pct25_psmp,1m8w_F_D,0.8695652173913043,1,
pct25_psmp,21bh_G_M,0.0,0,
pct25_psmp,6nut_A_B,0.0,1,
pct25_psmp,6qw6_Y_N,0.0,0,
pct25_psmp,6s6b_K_L,0.0,0,
pct25_psmp,7c08_A_C,0.07142857142857141,1,
pct25_psmp,7n3o_A_B,0.0,1,
pct25_psmp,7q3l_G_E,0.0,0,
pct25_psmp,7v9u_A_D,0.009615384615384616,1,
pct25_psmp,7y7q_A_D,0.0,1,
pct25_psmp,8b0j_A_G,0.0,1,
pct25_psmp,8h67_E_B,0.11510791366906475,1,
pct25_psmp,8i0w_WA_I,0.0,0,
pct25_psmp,9jwk_A_B,0.0,1,
pct25_psmp,9k31_A_C,0.0,1,
pct25_psmp,9kbz_A_C,0.0,1,
pct50_base,1m8w_F_D,0.0,1,
pct50_base,21bh_G_M,0.0,0,
pct50_base,6nut_A_B,0.025316455696202528,1,
pct50_base,6qw6_Y_N,0.0,0,
pct50_base,6s6b_K_L,0.0,0,
pct50_base,7c08_A_C,0.0,1,
pct50_base,7n3o_A_B,0.0,1,
pct50_base,7q3l_G_E,0.0,0,
pct50_base,7v9u_A_D,0.0,1,
pct50_base,7y7q_A_D,0.0,1,
pct50_base,8b0j_A_G,0.0,1,
pct50_base,8h67_E_B,0.0,1,
pct50_base,8i0w_WA_I,0.0,0,
pct50_base,9jwk_A_B,0.006147540983606557,1,
pct50_base,9k31_A_C,0.0,1,
pct50_base,9kbz_A_C,0.0,1,
pct50_psmp,1m8w_F_D,0.888888888888889,1,
pct50_psmp,21bh_G_M,0.0,0,
pct50_psmp,6nut_A_B,0.0,1,
pct50_psmp,6qw6_Y_N,0.0,0,
pct50_psmp,6s6b_K_L,0.0,0,
pct50_psmp,7c08_A_C,0.09302325581395349,1,
pct50_psmp,7n3o_A_B,0.0,1,
pct50_psmp,7q3l_G_E,0.0,0,
pct50_psmp,7v9u_A_D,0.0,1,
pct50_psmp,7y7q_A_D,0.0,1,
pct50_psmp,8b0j_A_G,0.0,1,
pct50_psmp,8h67_E_B,0.028985507246376812,1,
pct50_psmp,8i0w_WA_I,0.0,0,
pct50_psmp,9jwk_A_B,0.0025839793281653744,1,
pct50_psmp,9k31_A_C,0.0,1,
pct50_psmp,9kbz_A_C,0.0,0,
pct100_base,1m8w_F_D,0.9361702127659574,1,
pct100_base,21bh_G_M,0.0,1,
pct100_base,6nut_A_B,0.09523809523809522,1,
pct100_base,6qw6_Y_N,0.0,0,
pct100_base,6s6b_K_L,0.0,0,
pct100_base,7c08_A_C,0.024390243902439025,1,
pct100_base,7n3o_A_B,0.0,1,
pct100_base,7q3l_G_E,0.0,1,
pct100_base,7v9u_A_D,0.0,1,
pct100_base,7y7q_A_D,0.0,1,
pct100_base,8b0j_A_G,0.0,1,
pct100_base,8h67_E_B,0.016528925619834708,1,
pct100_base,8i0w_WA_I,0.0,0,
pct100_base,9jwk_A_B,0.0,1,
pct100_base,9k31_A_C,0.008928571428571428,1,
pct100_base,9kbz_A_C,0.0,1,
pct100_psmp,1m8w_F_D,0.9052631578947369,1,
pct100_psmp,21bh_G_M,0.0,1,
pct100_psmp,6nut_A_B,0.0,1,
pct100_psmp,6qw6_Y_N,0.0,0,
pct100_psmp,6s6b_K_L,0.0,0,
pct100_psmp,7c08_A_C,0.04597701149425287,1,
pct100_psmp,7n3o_A_B,0.0,1,
pct100_psmp,7q3l_G_E,0.0,1,
pct100_psmp,7v9u_A_D,0.0,1,
pct100_psmp,7y7q_A_D,0.0,1,
pct100_psmp,8b0j_A_G,0.0,1,
pct100_psmp,8h67_E_B,0.01694915254237288,1,
pct100_psmp,8i0w_WA_I,0.0,0,
pct100_psmp,9jwk_A_B,0.01076426264800861,1,
pct100_psmp,9k31_A_C,0.020790020790020788,1,
pct100_psmp,9kbz_A_C,0.0,1,
